1,Must See,50.66965,17.91987,"Holy Cross Cathedral","The Cathedral is interesting from the outside due to its gothic architecture, however it is also worth to visit it on the inside. It features a baptismal font from the 15th century with the emblem of Opole, renowned painting of Our Lady of Opole, gravestone of the last Piast of Opole, Jan Dobry as well as the genealogical tree of the Piast dynasty in Opole from approx. 1700.","SR NP"
2,Must See,50.66853,17.9207,"Szpitalna Street","The oldest street in Opole. A Jewish synagogue built in 1841, which lasted throughout the “noc kryształowa” (Crystal Night) and the II World War was located at Szpitalna 1, a building which is now the property of the TVP Opole television station. The contemporary ”Caritas” House of Social Service is the former hospital of Saint Alexander constructed in 1400.","NP"
3,Must See,50.66723,17.9197,"Piastowska Tower","Prevailing over the amphitheatre, the tower is the only remnant of the old Piastowski Castle and one of the oldest monuments of the middle-age defence architecture in Poland. After overcoming 163 steps, it is possible to admire the vast panorama of the city from the top of the tower. It is worth it!",""
4,Must See,50.66653,17.9193,"Castle Lake","An ideal place for a walk. Today, it is possible to have a tasty dinner in the monumental Ice House, which was the office of the Ice-skating Society. The fountain over the lake charms the visitors with a spectacle of lights, sounds and water.","SR NP"
5,Must See,50.66856,17.92372,"The tenement house at Saint Wojciech Street 9","A house from the end of the XIX century located near the Market Square is the property of the Muzeum Śląska Opolskiego (Museum of Opole Silesia). The renovated tenement house offers visitation of five quarters, the middle-class interiors of which, dating back to 1890-1960 were restored and make it possible to see the living conditions of an average citizen of Opole from those times.",""
6,Must See,50.66913,17.92579,"The University Hill","Amongst the well-tended greenery, it is possible to see and admire many interesting monument structures, such as the Chapel of St. Wojciech with its epitaph tablets from 1625 placed in front of the door, the baroque Column of Mary, St. Christopher's Monument, the legendary well of St. Wojciech or a set of female statues symbolizing the four seasons. The eastern part includes the Artist's Square, where some contemporary statues of prominent Polish poets (Agnieszka Osiecka), singers (Marek Grechuta) and people of the theatre (Jerzy Grotowski) can be found, as they were associated with Opole due to their profession.","SR NP"
7,Must See,50.66666,17.9234,"Wolności Square","Prior to World War II, the Regency building was located here and its basement still awaits for uncovering. Today, the square features a colourful fountain constructed in the 1950's by the famous Florian Jesionowski. Visitors can relax on numerous benches under centuries-old plane trees, stay warm in the summer sun and observe the plays of passionate chess players who organise meetings at the square.","SR"
8,Must See,50.66708,17.92293,"The bus stop at Liberty Square","At the location of a former hackney shop prior to the II World War, a reinforced-concrete bus shelter was built at the turn of the 60s and 70s, designed by Florian Jesionowski, an architect from Opole. Currently, the sculpture-structure is a taxi stop and the intriguing monolithic form underlined in the evenings with cold-white lighting resembles the Star Trek spaceship.","NP"
9,Must See,50.66597,17.92233,"Grosz Bridge","Built around 1906. Also referred to as the ”Green Bridge” due to its colour. It is located in the western part of Plac Wolności. A fee of 1 Grosz – hence the name – used to be charged for crossing the bridge.  The fee was charged by a fee collector, for whom a house was built next to the bridge. The house was constructed under a branchy hornbeam and referred to at the time as ”The Swiss House.” Today it is home for the famous ”Grabówka” Creperie.",""
10,Must See,50.66859,17.9201,"The Venice of Opole","Charming tenement houses constructed on the foundations of defensive walls over the Młynówka Channel, formerly an important trans-shipment port, irresistibly lead to associations with the famous Italian city. The historical houses, reflected in the water, lightened in the evenings by subtle lighting produce an attractive sight and a photo scenery.",""
